******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
******* Dense ******** 
convolution_kernel : 0.024486 
convolution_kernel : 0.005894 
convolution_kernel : 0.001814 
convolution_kernel : 0.000772 
convolution_kernel : 0.022131 
convolution_kernel : 0.018964 
convolution_kernel : 0.020400 
convolution_kernel : 0.003411 
convolution_kernel : 0.013982 
convolution_kernel : 0.003960 
convolution_kernel : 0.034648 
convolution_kernel : 0.001990 
convolution_kernel : 0.001083 
convolution_kernel : 0.015706 
convolution_kernel : 0.003490 
convolution_kernel : 0.018312 
convolution_kernel : 0.007024 
convolution_kernel : 0.005827 
convolution_kernel : 0.024503 
convolution_kernel : 0.003474 
convolution_kernel : 0.025093 
convolution_kernel : 0.005162 
convolution_kernel : 0.023274 
convolution_kernel : 0.000675 
convolution_kernel : 0.024299 
convolution_kernel : 0.015727 
convolution_kernel : 0.016674 
convolution_kernel : 0.003545 
convolution_kernel : 0.017529 
convolution_kernel : 0.004325 
convolution_kernel : 0.001363 
convolution_kernel : 0.013549 
convolution_kernel : 0.001543 
convolution_kernel : 0.001101 
convolution_kernel : 0.020862 
convolution_kernel : 0.007739 
convolution_kernel : 0.026551 
convolution_kernel : 0.006689 
convolution_kernel : 0.025111 
convolution_kernel : 0.023481 
convolution_kernel : 0.003534 
convolution_kernel : 0.020874 
convolution_kernel : 0.000746 
convolution_kernel : 0.023106 
convolution_kernel : 0.003376 
convolution_kernel : 0.015944 
convolution_kernel : 0.003277 
convolution_kernel : 0.017172 
convolution_kernel : 0.004462 
convolution_kernel : 0.001066 
convolution_kernel : 0.019547 
convolution_kernel : 0.002955 
convolution_kernel : 0.020185 
convolution_kernel : 0.005907 
convolution_kernel : 0.028278 
convolution_kernel : 0.003926 
convolution_kernel : 0.025385 
convolution_kernel : 0.019333 
convolution_kernel : 0.001378 
convolution_kernel : 0.020422 
convolution_kernel : 0.021229 
convolution_kernel : 0.018587 
convolution_kernel : 0.006538 
convolution_kernel : 0.003765 
convolution_kernel : 0.014304 
convolution_kernel : 0.001357 
convolution_kernel : 0.001210 
convolution_kernel : 0.014837 
convolution_kernel : 0.000930 
convolution_kernel : 0.001323 
convolution_kernel : 0.023296 
convolution_kernel : 0.008857 
convolution_kernel : 0.003971 
convolution_kernel : 0.029522 
convolution_kernel : 0.007973 
convolution_kernel : 0.024085 
convolution_kernel : 0.026496 
convolution_kernel : 0.026068 
convolution_kernel : 0.001435 
convolution_kernel : 0.016475 
convolution_kernel : 0.000803 
convolution_kernel : 0.015328 
convolution_kernel : 0.002183 
convolution_kernel : 0.001230 
convolution_kernel : 0.014649 
convolution_kernel : 0.001788 
convolution_kernel : 0.001701 
convolution_kernel : 0.005629 
convolution_kernel : 0.015653 
convolution_kernel : 0.004566 
convolution_kernel : 0.004327 
convolution_kernel : 0.001770 
convolution_kernel : 0.019189 
convolution_kernel : 0.003850 
convolution_kernel : 0.003685 
convolution_kernel : 0.001827 
